Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A6X980	O14229	SFC7	SFC1	SPAC1250.07	SPAC6F12.11C	SPAC1250.07	SPAC6F12.11C	23921640:0114:LC
C6Y4D0	P87174	DPB3	DPB4	SPCC16C4.22	SPBC3D6.09	SPCC16C4.22	SPBC3D6.09	29109278:0114:LC
D0EJL8	O13961	PDI2	CUT11		SPAC1786.03|SPAC24C9.01		SPAC1786.03	33109728:0090:HT
G2TRN4	G2TRN4	ERH1	ERH1	SPAC19G12.17	SPAC19G12.17	SPAC19G12.17	SPAC19G12.17	31974447:0114:LC
O00102	P87238	UBC7	P87238	SPBP16F5.04	SPCC4G3.13C	SPBP16F5.04	SPCC4G3.13C	31397327:0114:LC
O13286	O13286	SRW1	SRW1	SPAC144.13C	SPAC144.13C	SPAC144.13C	SPAC144.13C	26771498:0018:HT
O13310	O13310	ORB6	ORB6	SPAC821.12	SPAC821.12	SPAC821.12	SPAC821.12	22629372:0415:LC|12646585:0415:LC|23615447:0018:LC
O13310	O74558	ORB6	MOB2	SPAC821.12	SPCC970.04C	SPAC821.12	SPCC970.04C	16096637:0019:LC|12456722:0004:LC|23615447:0018:LC|12456722:0428:LC|12456722:0007:LC|12456722:0018:LC|12456722:0096:LC
O13310	P78963	ORB6	SKB1	SPAC821.12	SPBC16H5.11C	SPAC821.12	SPBC16H5.11C	12646585:0004:LC|23615447:0018:LC|12646585:0018:LC|12646585:0096:LC
O13310	Q9HDV6	ORB6	MOR2	SPAC821.12	SPBP19A11.04C	SPAC821.12	SPBP19A11.04C	16096637:0019:LC|16096637:0004:LC|23615447:0018:LC|16096637:0018:LC
O13326	O14063	MET17	CUT15	SPBC428.11	SPCC962.03C	SPBC428.11	SPCC962.03C	26771498:0018:HT
O13339	O74804	TRT1	EST1	SPBC29A3.14C	SPBC2D10.13	SPBC29A3.14C	SPBC2D10.13	12676088:0007:LC|12676088:0004:LC|18157152:0007:LC|18157152:0004:LC
O13351	O13826	PMT3	RFP1	SPBC365.06	SPAC19A8.10	SPBC365.06	SPAC19A8.10	17762865:0018:LC|17762864:0096:LC|17762864:0018:LC
O13370	P34208	DED1	CHK1	SPCC1795.11	SPCC1259.13	SPCC1795.11	SPCC1259.13	11711540:0018:LC|11711540:0004:LC|17502373:0018:LC
O13453	O13453	PMP1	PMP1	SPBC1685.01	SPBC1685.01	SPBC1685.01	SPBC1685.01	26771498:0018:HT
O13453	Q10156	PMP1	LKH1	SPBC1685.01	SPAC1D4.11C	SPBC1685.01	SPAC1D4.11C	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O13598	O94425	O13598	O94425	PI003|SPACTOKYO_453.33C|SPBC11B10.08	SPBC660.05	SPBC11B10.08	SPBC660.05	26771498:0018:HT
O13598	O94426	O13598	O94426	PI003|SPACTOKYO_453.33C|SPBC11B10.08	SPBC660.06	SPBC11B10.08	SPBC660.06	26771498:0018:HT
O13614	O14261	RPS1002	TAF1	PI023|SPBP22H7.08	SPAC7D4.04	SPBP22H7.08	SPAC7D4.04	26771498:0018:HT
O13615	O14187	PRP5	SPP42	PI024|SPBP22H7.07	SPAC4F8.12C	SPBP22H7.07	SPAC4F8.12C	26292707:0114:LC
O13615	O94316	PRP5	CWF10	PI024|SPBP22H7.07	SPBC215.12	SPBP22H7.07	SPBC215.12	24014766:0401:LC|26292707:0114:LC
O13615	P39964	PRP5	CDC5	PI024|SPBP22H7.07	SPAC644.12	SPBP22H7.07	SPAC644.12	10409726:0007:LC|10409726:0004:LC|10409726:0019:LC|10409726:0027:LC|24014766:0401:LC
O13615	P78794	PRP5	CWF15	PI024|SPBP22H7.07	SPBC337.06C	SPBP22H7.07	SPBC337.06C	26292707:0114:LC
O13615	P87312	PRP5	CWF4	PI024|SPBP22H7.07	SPBC31F10.11C	SPBP22H7.07	SPBC31F10.11C	26292707:0114:LC|10409726:0007:LC
O13615	Q09882	PRP5	PRP45	PI024|SPBP22H7.07	SPCC188.11|SPCC584.08	SPBP22H7.07	SPCC188.11	26292707:0114:LC
O13633	O13961	O13633	CUT11	PI041|SPBC17A3.05C	SPAC1786.03|SPAC24C9.01	SPBC17A3.05C	SPAC1786.03	33109728:0090:HT
O13633	Q9UTN0	O13633	Q9UTN0	PI041|SPBC17A3.05C	SPAC139.03	SPBC17A3.05C	SPAC139.03	26771498:0018:HT
O13637	O94319	SEC31	SEC13	SPBC8D2.20C	SPBC215.15	SPBC8D2.20C	SPBC215.15	23695164:0018:HT|26771498:0018:HT|23695164:0397:HT
O13637	P41888	SEC31	TNR3	SPBC8D2.20C	SPAC6F12.05C	SPBC8D2.20C	SPAC6F12.05C	26771498:0018:HT
O13640	O13681	O13640	IMA1	PI048|SPBC8D2.17	SPCC737.03C	SPBC8D2.17	SPCC737.03C	33109728:0090:HT
O13640	O13961	O13640	CUT11	PI048|SPBC8D2.17	SPAC1786.03|SPAC24C9.01	SPBC8D2.17	SPAC1786.03	33109728:0090:HT
O13644	O74534	SED5	SLY1	PI051|SPBC8D2.14C	SPCC74.01	SPBC8D2.14C	SPCC74.01	26771498:0018:HT
O13647	O13647	O13647	O13647	PI054|SPBC8D2.11	PI054|SPBC8D2.11	SPBC8D2.11	SPBC8D2.11	26771498:0018:HT
O13647	O59670	O13647	O59670	PI054|SPBC8D2.11	SPBC29A3.07C	SPBC8D2.11	SPBC29A3.07C	26771498:0018:HT
O13652	O74447	SFI1	O74447	PI059|SPBC8D2.05C	SPCC16C4.02C	SPBC8D2.05C	SPCC16C4.02C	26771498:0018:HT
O13657	O13961	O13657	CUT11	PI066|SPBC27B12.12C	SPAC1786.03|SPAC24C9.01	SPBC27B12.12C	SPAC1786.03	33109728:0090:HT
O13670	Q9USP7	MTO1	Q9USP7	PI079|SPBC30B4.06C	SPBC902.06	SPBC30B4.06C	SPBC902.06	15659644:0096:LC|15800064:0007:LC|15659644:0007:LC|15800064:0676:LC|15659644:0006:LC|15659644:0416:LC|15800064:0096:LC
O13671	O13671	KAP109	KAP109	PI080|SPBC30B4.05	PI080|SPBC30B4.05	SPBC30B4.05	SPBC30B4.05	26771498:0018:HT
O13671	P28748	KAP109	SPI1	PI080|SPBC30B4.05	SPBC1289.03C	SPBC30B4.05	SPBC1289.03C	26771498:0018:HT
O13674	O14261	MUG24	TAF1	SPCC74.09	SPAC7D4.04	SPCC74.09	SPAC7D4.04	26771498:0018:HT
O13674	Q9P7Q4	MUG24	SEC18	SPCC74.09	SPAC1834.11C	SPCC74.09	SPAC1834.11C	26771498:0018:HT
O13679	O13961	O13679	CUT11	SPCC737.05	SPAC1786.03|SPAC24C9.01	SPCC737.05	SPAC1786.03	33109728:0090:HT
O13681	O13681	IMA1	IMA1	SPCC737.03C	SPCC737.03C	SPCC737.03C	SPCC737.03C	26771498:0018:HT|21880100:0018:LC
O13681	O13712	IMA1	MUG61	SPCC737.03C	SPAC14C4.05C	SPCC737.03C	SPAC14C4.05C	26771498:0018:HT|21880100:0018:LC
O13681	O13717	IMA1	O13717	SPCC737.03C	SPAC14C4.10C	SPCC737.03C	SPAC14C4.10C	33109728:0090:HT
O13681	O13785	IMA1	USE1	SPCC737.03C	SPAC17G6.07C	SPCC737.03C	SPAC17G6.07C	33109728:0090:HT
O13681	O13787	IMA1	SEC62	SPCC737.03C	SPAC17G6.09	SPCC737.03C	SPAC17G6.09	33109728:0090:HT
O13681	O13811	IMA1	O13811	SPCC737.03C	SPAC17H9.14C	SPCC737.03C	SPAC17H9.14C	33109728:0090:HT
O13681	O13825	IMA1	YOS1	SPCC737.03C	SPAC19A8.09	SPCC737.03C	SPAC19A8.09	33109728:0090:HT
O13681	O13846	IMA1	SCS7	SPCC737.03C	SPAC19G12.08	SPCC737.03C	SPAC19G12.08	33109728:0090:HT
O13681	O13932	IMA1	BET1	SPCC737.03C	SPAC23C4.13	SPCC737.03C	SPAC23C4.13	33109728:0090:HT
O13681	O13961	IMA1	CUT11	SPCC737.03C	SPAC1786.03|SPAC24C9.01	SPCC737.03C	SPAC1786.03	33109728:0090:HT
O13681	O14038	IMA1	O14038	SPCC737.03C	SPAC2C4.05	SPCC737.03C	SPAC2C4.05	33109728:0090:HT
O13681	O14067	IMA1	O14067	SPCC737.03C	SPAC1687.08	SPCC737.03C	SPAC1687.08	33109728:0090:HT
O13681	O14068	IMA1	O14068	SPCC737.03C	SPAC1687.07	SPCC737.03C	SPAC1687.07	33109728:0090:HT
O13681	O14103	IMA1	ROT1	SPCC737.03C	SPAC31G5.02	SPCC737.03C	SPAC31G5.02	33109728:0090:HT
O13681	O14193	IMA1	MUG69	SPCC737.03C	SPAC56E4.05	SPCC737.03C	SPAC56E4.05	33109728:0090:HT
O13681	O14290	IMA1	O14290	SPCC737.03C	SPAC9E9.04	SPCC737.03C	SPAC9E9.04	33109728:0090:HT
O13681	O14346	IMA1	O14346	SPCC737.03C	SPBC19C2.15C|SPBC2F12.16	SPCC737.03C	SPBC19C2.15C	33109728:0090:HT
O13681	O36022	IMA1	MNN9	SPCC737.03C	SPAC4F10.10C	SPCC737.03C	SPAC4F10.10C	33109728:0090:HT
O13681	O42646	IMA1	UBC6	SPCC737.03C	SPAC10F6.05C	SPCC737.03C	SPAC10F6.05C	33109728:0090:HT
O13681	O42826	IMA1	PDH1	SPCC737.03C	SPCC1235.08C	SPCC737.03C	SPCC1235.08C	33109728:0090:HT
O13681	O42841	IMA1	O42841	SPCC737.03C	SPAC23A1.02C	SPCC737.03C	SPAC23A1.02C	33109728:0090:HT
O13681	O42843	IMA1	O42843	SPCC737.03C	SPAC23A1.05	SPCC737.03C	SPAC23A1.05	33109728:0090:HT
O13681	O42901	IMA1	O42901	SPCC737.03C	SPBC119.09C	SPCC737.03C	SPBC119.09C	33109728:0090:HT
O13681	O42933	IMA1	OGM4	SPCC737.03C	SPBC16C6.09	SPCC737.03C	SPBC16C6.09	33109728:0090:HT
O13681	O42940	IMA1	PHO88	SPCC737.03C	SPBC16H5.04	SPCC737.03C	SPBC16H5.04	33109728:0090:HT
O13681	O42944	IMA1	OMH2	SPCC737.03C	SPBC16H5.09C	SPCC737.03C	SPBC16H5.09C	33109728:0090:HT
O13681	O42968	IMA1	O42968	SPCC737.03C	SPBC1E8.03C	SPCC737.03C	SPBC1E8.03C	33109728:0090:HT
O13681	O43002	IMA1	SBH1	SPCC737.03C	SPBC2G2.03C	SPCC737.03C	SPBC2G2.03C	33109728:0090:HT
O13681	O59715	IMA1	DSD1	SPCC737.03C	SPBC3B8.07C	SPCC737.03C	SPBC3B8.07C	33109728:0090:HT
O13681	O59735	IMA1	LAC1	SPCC737.03C	SPBC3E7.15C|SPBC4F6.02C	SPCC737.03C	SPBC3E7.15C	33109728:0090:HT
O13681	O59747	IMA1	PDF1	SPCC737.03C	SPBC530.12C	SPCC737.03C	SPBC530.12C	33109728:0090:HT
O13681	O59764	IMA1	O59764	SPCC737.03C	SPCC1020.11C	SPCC737.03C	SPCC1020.11C	33109728:0090:HT
O13681	O59776	IMA1	O59776	SPCC737.03C	SPCC1795.12C	SPCC737.03C	SPCC1795.12C	33109728:0090:HT
O13681	O60061	IMA1	ALG5	SPCC737.03C	SPBC56F2.10C	SPCC737.03C	SPBC56F2.10C	33109728:0090:HT
O13681	O60159	IMA1	O60159	SPCC737.03C	SPBC19C7.11	SPCC737.03C	SPBC19C7.11	33109728:0090:HT
O13681	O74323	IMA1	SEC11	SPCC737.03C	SPBC1685.03	SPCC737.03C	SPBC1685.03	33109728:0090:HT
O13681	O74377	IMA1	O74377	SPCC737.03C	SPBC3H7.02	SPCC737.03C	SPBC3H7.02	33109728:0090:HT
O13681	O74446	IMA1	SIF2	SPCC737.03C	SPCC16C4.01|SPCC5E4.09	SPCC737.03C	SPCC16C4.01	33109728:0090:HT
O13681	O74510	IMA1	BQT3	SPCC737.03C	SPCC594.07C	SPCC737.03C	SPCC594.07C	33109728:0090:HT
O13681	O74557	IMA1	CBR1	SPCC737.03C	SPCC970.03	SPCC737.03C	SPCC970.03	33109728:0090:HT
O13681	O74559	IMA1	O74559	SPCC737.03C	SPCC970.06	SPCC737.03C	SPCC970.06	33109728:0090:HT
O13681	O74750	IMA1	YEA4	SPCC737.03C	SPBC1734.09	SPCC737.03C	SPBC1734.09	33109728:0090:HT
O13681	O74820	IMA1	ERG28	SPCC737.03C	SPBC337.09	SPCC737.03C	SPBC337.09	33109728:0090:HT
O13681	O74827	IMA1	CHO1	SPCC737.03C	SPBC337.16	SPCC737.03C	SPBC337.16	33109728:0090:HT
O13681	O74837	IMA1	PMP31	SPCC737.03C	SPCC1183.09C	SPCC737.03C	SPCC1183.09C	33109728:0090:HT
O13681	O74849	IMA1	GHT6	SPCC737.03C	SPCC1235.13	SPCC737.03C	SPCC1235.13	33109728:0090:HT
O13681	O74916	IMA1	O74916	SPCC737.03C	SPCC757.05C	SPCC737.03C	SPCC757.05C	33109728:0090:HT
O13681	O74926	IMA1	RBD2	SPCC737.03C	SPCC790.03	SPCC737.03C	SPCC790.03	33109728:0090:HT
O13681	O74943	IMA1	O74943	SPCC737.03C	SPCC553.06	SPCC737.03C	SPCC553.06	33109728:0090:HT
O13681	O74969	IMA1	GHT2	SPCC737.03C	SPBC4B4.08	SPCC737.03C	SPBC4B4.08	33109728:0090:HT
O13681	O74992	IMA1	O74992	SPCC737.03C	SPCC338.18	SPCC737.03C	SPCC338.18	33109728:0090:HT
O13681	O94298	IMA1	SUR2	SPCC737.03C	SPBC887.15C	SPCC737.03C	SPBC887.15C	33109728:0090:HT
O13681	O94300	IMA1	O94300	SPCC737.03C	SPBC887.17	SPCC737.03C	SPBC887.17	33109728:0090:HT
O13681	O94339	IMA1	MUG96	SPCC737.03C	SPBC1271.06C	SPCC737.03C	SPBC1271.06C	33109728:0090:HT
O13681	O94348	IMA1	YIP1	SPCC737.03C	SPCC61.04C	SPCC737.03C	SPCC61.04C	33109728:0090:HT
O13681	O94361	IMA1	O94361	SPCC737.03C	SPBC428.14	SPCC737.03C	SPBC428.14	33109728:0090:HT
O13681	O94385	IMA1	POM152	SPCC737.03C	SPBC29A10.07	SPCC737.03C	SPBC29A10.07	26771498:0018:HT
O13681	O94391	IMA1	O94391	SPCC737.03C	SPBC29A10.16C	SPCC737.03C	SPBC29A10.16C	33109728:0090:HT
O13681	O94433	IMA1	O94433	SPCC737.03C	SPBC660.17C	SPCC737.03C	SPBC660.17C	33109728:0090:HT
O13681	O94448	IMA1	O94448	SPCC737.03C	SPAC1687.02	SPCC737.03C	SPAC1687.02	33109728:0090:HT
O13681	O94458	IMA1	O94458	SPCC737.03C	SPAC1687.17C	SPCC737.03C	SPAC1687.17C	33109728:0090:HT
O13681	O94464	IMA1	NVJ2	SPCC737.03C	SPBC23G7.06C	SPCC737.03C	SPBC23G7.06C	33109728:0090:HT
O13681	O94520	IMA1	O94520	SPCC737.03C	SPCC1281.03C	SPCC737.03C	SPCC1281.03C	33109728:0090:HT
O13681	O94523	IMA1	O94523	SPCC737.03C	SPCC1281.06C	SPCC737.03C	SPCC1281.06C	33109728:0090:HT
O13681	O94591	IMA1	O94591	SPCC737.03C	SPCC622.01C	SPCC737.03C	SPCC622.01C	33109728:0090:HT
O13681	O94633	IMA1	DPM3	SPCC737.03C	SPBC1677.02	SPCC737.03C	SPBC1677.02	33109728:0090:HT
O13681	O94651	IMA1	PEP12	SPCC737.03C	SPBC31E1.04	SPCC737.03C	SPBC31E1.04	26771498:0018:HT
O13681	O94673	IMA1	GPC1	SPCC737.03C	SPBC776.05	SPCC737.03C	SPBC776.05	33109728:0090:HT
O13681	O94680	IMA1	PLH1	SPCC737.03C	SPBC776.14	SPCC737.03C	SPBC776.14	33109728:0090:HT
O13681	P36209	IMA1	STS1	SPCC737.03C	SPAC20G4.07C	SPCC737.03C	SPAC20G4.07C	33109728:0090:HT
O13681	P36596	IMA1	ERG9	SPCC737.03C	SPBC646.05C	SPCC737.03C	SPBC646.05C	33109728:0090:HT
O13681	P50515	IMA1	VMA3	SPCC737.03C	SPAC1B3.14	SPCC737.03C	SPAC1B3.14	33109728:0090:HT
O13681	P50537	IMA1	MAE1	SPCC737.03C	SPAPB8E5.03	SPCC737.03C	SPAPB8E5.03	33109728:0090:HT
O13681	P54069	IMA1	BEM46	SPCC737.03C	PI020|SPBC32H8.03	SPCC737.03C	SPBC32H8.03	33109728:0090:HT
O13681	P79088	IMA1	SEC61	SPCC737.03C	SPBC354.02C	SPCC737.03C	SPBC354.02C	33109728:0090:HT
O13681	P87014	IMA1	MAM4	SPCC737.03C	SPAC10F6.12C	SPCC737.03C	SPAC10F6.12C	33109728:0090:HT
O13681	P87041	IMA1	GMS1	SPCC737.03C	SPCC1795.03	SPCC737.03C	SPCC1795.03	33109728:0090:HT
O13681	P87119	IMA1	MUG145	SPCC737.03C	SPAC3A12.03C	SPCC737.03C	SPAC3A12.03C	33109728:0090:HT
O13681	P87170	IMA1	PTP4	SPCC737.03C	SPBC3D6.05	SPCC737.03C	SPBC3D6.05	33109728:0090:HT
O13681	P87236	IMA1	MUG154	SPCC737.03C	SPCC4G3.11	SPCC737.03C	SPCC4G3.11	33109728:0090:HT
O13681	Q01475	IMA1	SAR1	SPCC737.03C	SPBC31F10.06C	SPCC737.03C	SPBC31F10.06C	33109728:0090:HT
O13681	Q09174	IMA1	GMA12	SPCC737.03C	SPCC736.04C	SPCC737.03C	SPCC736.04C	33109728:0090:HT
O13681	Q09195	IMA1	ERG24	SPCC737.03C	SPBC16G5.18	SPCC737.03C	SPBC16G5.18	33109728:0090:HT
O13681	Q09730	IMA1	SFT1	SPCC737.03C	SPAC31A2.13C	SPCC737.03C	SPAC31A2.13C	33109728:0090:HT
O13681	Q09736	IMA1	ERG11	SPCC737.03C	SPAC13A11.02C	SPCC737.03C	SPAC13A11.02C	33109728:0090:HT
O13681	Q09749	IMA1	Q09749	SPCC737.03C	SPBC12C2.09C	SPCC737.03C	SPBC12C2.09C	33109728:0090:HT
O13681	Q09825	IMA1	SAD1	SPCC737.03C	SPBC12D12.01|SPBC16H5.01C	SPCC737.03C	SPBC12D12.01	26771498:0018:HT|21880100:0018:LC
O13681	Q09835	IMA1	GOS1	SPCC737.03C	SPAC4G8.10	SPCC737.03C	SPAC4G8.10	33109728:0090:HT
O13681	Q10109	IMA1	LEM2	SPCC737.03C	SPAC18G6.10	SPCC737.03C	SPAC18G6.10	21880100:0018:LC|33109728:0090:HT
O13681	Q10153	IMA1	PIS1	SPCC737.03C	SPAC1D4.08	SPCC737.03C	SPAC1D4.08	33109728:0090:HT
O13681	Q10255	IMA1	Q10255	SPCC737.03C	SPAC56F8.07	SPCC737.03C	SPAC56F8.07	33109728:0090:HT
O13681	Q10320	IMA1	Q10320	SPCC737.03C	SPAC17G8.08C	SPCC737.03C	SPAC17G8.08C	33109728:0090:HT
O13681	Q10436	IMA1	Q10436	SPCC737.03C	SPAC12B10.02C	SPCC737.03C	SPAC12B10.02C	33109728:0090:HT
O13681	Q1MTR8	IMA1	SVP26	SPCC737.03C	SPCC1795.10C	SPCC737.03C	SPCC1795.10C	33109728:0090:HT
O13681	Q8NIQ1	IMA1	Q8NIQ1	SPCC737.03C	SPAC2F3.18C	SPCC737.03C	SPAC2F3.18C	33109728:0090:HT
O13681	Q8WZJ9	IMA1	HUT1	SPCC737.03C	SPBC839.11C	SPCC737.03C	SPBC839.11C	33109728:0090:HT
O13681	Q96VG2	IMA1	OST4	SPCC737.03C	SPAC7D4.15C	SPCC737.03C	SPAC7D4.15C	33109728:0090:HT
O13681	Q96WW4	IMA1	IVN1	SPCC737.03C	PI004|SPACTOKYO_453.33C|SPBC11B10.07C	SPCC737.03C	SPBC11B10.07C	33109728:0090:HT
O13681	Q96WW6	IMA1	ALG2	SPCC737.03C	PI010|SPBC11B10.01|SPBC32H8.14	SPCC737.03C	SPBC11B10.01	33109728:0090:HT
O13681	Q9C0Y4	IMA1	AGL1	SPCC737.03C	SPAPB24D3.10C	SPCC737.03C	SPAPB24D3.10C	33109728:0090:HT
O13681	Q9C100	IMA1	OGM2	SPCC737.03C	SPAPB1E7.09	SPCC737.03C	SPAPB1E7.09	33109728:0090:HT
O13681	Q9C1W3	IMA1	ERG1	SPCC737.03C	SPBC713.12	SPCC737.03C	SPBC713.12	33109728:0090:HT
O13681	Q9C1W4	IMA1	PMP3	SPCC737.03C	SPBC713.11C	SPCC737.03C	SPBC713.11C	33109728:0090:HT
O13681	Q9HGM6	IMA1	Q9HGM6	SPCC737.03C	SPBC543.05C	SPCC737.03C	SPBC543.05C	33109728:0090:HT
O13681	Q9P3E4	IMA1	Q9P3E4	SPCC737.03C	SPAC750.07C	SPCC737.03C	SPAC750.07C	33109728:0090:HT
O13681	Q9P6K1	IMA1	SFT2	SPCC737.03C	SPAC1527.02	SPCC737.03C	SPAC1527.02	33109728:0090:HT
O13681	Q9P6N9	IMA1	Q9P6N9	SPCC737.03C	SPAC823.07	SPCC737.03C	SPAC823.07	33109728:0090:HT
O13681	Q9P7C1	IMA1	Q9P7C1	SPCC737.03C	SPAC2E1P5.03	SPCC737.03C	SPAC2E1P5.03	33109728:0090:HT
O13681	Q9P7C2	IMA1	MUG109	SPCC737.03C	SPAC2E1P5.02C	SPCC737.03C	SPAC2E1P5.02C	33109728:0090:HT
O13681	Q9P7G3	IMA1	Q9P7G3	SPCC737.03C	SPAP14E8.05C	SPCC737.03C	SPAP14E8.05C	33109728:0090:HT
O13681	Q9P7H7	IMA1	ILM1	SPCC737.03C	SPAC1782.02C	SPCC737.03C	SPAC1782.02C	33109728:0090:HT
O13681	Q9P7K7	IMA1	Q9P7K7	SPCC737.03C	SPBC21C3.17C	SPCC737.03C	SPBC21C3.17C	33109728:0090:HT
O13681	Q9UR17	IMA1	NRF1	SPCC737.03C	SPBC21B10.04C	SPCC737.03C	SPBC21B10.04C	33109728:0090:HT
O13681	Q9URW1	IMA1	Q9URW1	SPCC737.03C	SPAPJ695.01C	SPCC737.03C	SPAPJ695.01C	33109728:0090:HT
O13681	Q9URX8	IMA1	Q9URX8	SPCC737.03C	SPAC890.06	SPCC737.03C	SPAC890.06	26771498:0018:HT
O13681	Q9US04	IMA1	GGT1	SPCC737.03C	SPAC664.09	SPCC737.03C	SPAC664.09	33109728:0090:HT
O13681	Q9US56	IMA1	MUG31	SPCC737.03C	SPAC1002.02	SPCC737.03C	SPAC1002.02	33109728:0090:HT
O13681	Q9USH0	IMA1	Q9USH0	SPCC737.03C	SPCP31B10.04	SPCC737.03C	SPCP31B10.04	33109728:0090:HT
O13681	Q9USM6	IMA1	OCA8	SPCC737.03C	SPCC16A11.10C	SPCC737.03C	SPCC16A11.10C	33109728:0090:HT
O13681	Q9USN0	IMA1	GPI10	SPCC737.03C	SPCC16A11.06C	SPCC737.03C	SPCC16A11.06C	33109728:0090:HT
O13681	Q9USN1	IMA1	SNX12	SPCC737.03C	SPCC16A11.04	SPCC737.03C	SPCC16A11.04	33109728:0090:HT
O13681	Q9USQ0	IMA1	SPO7	SPCC737.03C	SPBC902.03	SPCC737.03C	SPBC902.03	33109728:0090:HT
O13681	Q9USS9	IMA1	DNI2	SPCC737.03C	SPBC4.01	SPCC737.03C	SPBC4.01	33109728:0090:HT
O13681	Q9USV0	IMA1	Q9USV0	SPCC737.03C	SPBC28F2.08C	SPCC737.03C	SPBC28F2.08C	33109728:0090:HT
O13681	Q9USV7	IMA1	CTR6	SPCC737.03C	SPBC23G7.16	SPCC737.03C	SPBC23G7.16	33109728:0090:HT
O13681	Q9USW2	IMA1	INP2	SPCC737.03C	SPBC21B10.06C	SPCC737.03C	SPBC21B10.06C	33109728:0090:HT
O13681	Q9USW6	IMA1	DPM2	SPCC737.03C	SPBC21B10.11	SPCC737.03C	SPBC21B10.11	33109728:0090:HT
O13681	Q9USX0	IMA1	PVG3	SPCC737.03C	SPBC1921.06C	SPCC737.03C	SPBC1921.06C	33109728:0090:HT
O13681	Q9UT00	IMA1	Q9UT00	SPCC737.03C	SPAPYUK71.03C	SPCC737.03C	SPAPYUK71.03C	33109728:0090:HT
O13681	Q9UT20	IMA1	Q9UT20	SPCC737.03C	SPAC9.08C	SPCC737.03C	SPAC9.08C	33109728:0090:HT
O13681	Q9UT35	IMA1	GDP1	SPCC737.03C	SPAC824.08	SPCC737.03C	SPAC824.08	33109728:0090:HT
O13681	Q9UTA0	IMA1	Q9UTA0	SPCC737.03C	SPAC27E2.11C	SPCC737.03C	SPAC27E2.11C	33109728:0090:HT
O13681	Q9UTI9	IMA1	Q9UTI9	SPCC737.03C	SPAC15E1.02C	SPCC737.03C	SPAC15E1.02C	33109728:0090:HT
O13681	Q9UTQ9	IMA1	SPC2	SPCC737.03C	SPAC1071.04C	SPCC737.03C	SPAC1071.04C	33109728:0090:HT
O13681	Q9UU91	IMA1	YOP1	SPCC737.03C	SPCC830.08C	SPCC737.03C	SPCC830.08C	33109728:0090:HT
O13681	Q9UUH1	IMA1	VPS55	SPCC737.03C	SPAC630.11	SPCC737.03C	SPAC630.11	33109728:0090:HT
O13681	Q9Y7L0	IMA1	SEC22	SPCC737.03C	SPBC2A9.08C	SPCC737.03C	SPBC2A9.08C	33109728:0090:HT
O13681	Q9Y7N3	IMA1	GRX3	SPCC737.03C	SPCC1450.06C	SPCC737.03C	SPCC1450.06C	33109728:0090:HT
O13681	Q9Y7P8	IMA1	Q9Y7P8	SPCC737.03C	SPCC191.04C	SPCC737.03C	SPCC191.04C	33109728:0090:HT
O13681	Q9Y7R5	IMA1	INS1	SPCC737.03C	SPCC306.05C	SPCC737.03C	SPCC306.05C	33109728:0090:HT
O13681	Q9Y7R9	IMA1	Q9Y7R9	SPCC737.03C	SPCC306.11	SPCC737.03C	SPCC306.11	33109728:0090:HT
O13681	Q9Y7T6	IMA1	SEC59	SPCC737.03C	SPCC63.10C	SPCC737.03C	SPCC63.10C	33109728:0090:HT
O13681	Q9Y7V0	IMA1	MUG117	SPCC737.03C	SPCC645.11C	SPCC737.03C	SPCC645.11C	33109728:0090:HT
O13681	Q9Y7Y0	IMA1	Q9Y7Y0	SPCC737.03C	SPBC365.08C	SPCC737.03C	SPBC365.08C	33109728:0090:HT
O13681	Q9Y7Y4	IMA1	COX10	SPCC737.03C	SPBC365.02C	SPCC737.03C	SPBC365.02C	33109728:0090:HT
O13681	Q9Y876	IMA1	PSH3	SPCC737.03C	SPBC409.20C	SPCC737.03C	SPBC409.20C	33109728:0090:HT
O13685	O74983	UBC13	SPM2	SPAC11E3.04C	SPCC338.05C	SPAC11E3.04C	SPCC338.05C	16641370:0415:LC|16641370:0096:LC|12531016:0018:LC
O13687	Q9USP4	VMA4	MUG1	SPAC11E3.07	SPCC11E10.03	SPAC11E3.07	SPCC11E10.03	26771498:0018:HT
O13688	O94668	NSE6	NSE5	SPAC11E3.08C	SPBC651.10	SPAC11E3.08C	SPBC651.10	16478984:0096:LC|23695164:0018:HT|17762865:0018:LC|16478984:0007:LC|16478984:0004:LC|23695164:0397:HT|16478984:0676:LC|26771498:0018:HT
O13701	O74994	TAF7	RNG3	SPAC13F5.02C	SPCC613.04C	SPAC13F5.02C	SPCC613.04C	26771498:0018:HT
O13701	Q9Y7V1	TAF7	Q9Y7V1	SPAC13F5.02C	SPCC645.12C	SPAC13F5.02C	SPCC645.12C	26771498:0018:HT
O13702	O13702	GLD1	GLD1	SPAC13F5.03C	SPAC13F5.03C	SPAC13F5.03C	SPAC13F5.03C	PDB_1TA9:0114:LC
