30,31
711,739
786,690
461,835
38,142
6,545
20,1369
848,849
1155,625
674,378
41,178
41,83
416,446
337,759
1006,1384
56,276
602,603
718,1207
630,1138
641,1061
6,528
604,644
1537,54
1132,54
6,134
1048,378
41,185
300,698
41,76
136,142
6,70
422,252
324,350
6,559
7,8
41,182
56,270
424,913
1034,378
41,190
884,624
6,468
811,813
1342,54
913,1194
391,394
1015,605
142,148
6,552
6,182
1471,866
991,895
6,171
238,527
901,1366
402,324
694,898
49,50
1350,1351
1144,812
378,361
217,1026
648,896
1209,954
6,190
711,884
6,119
345,904
1546,645
962,963
888,864
47,628
1118,1119
424,884
938,939
359,360
872,393
142,190
6,287
1031,658
378,401
1016,939
1403,1404
422,342
31,648
1443,1056
897,589
27,801
6,154
664,1023
27,786
6,98
92,142
426,432
1220,347
1519,1520
213,214
732,683
1233,721
691,817
371,618
41,141
785,1016
719,927
6,544
1113,983
300,762
1113,1065
314,300
393,873
6,571
616,347
6,108
1325,1326
6,507
1190,1191
207,990
1199,1200
41,115
56,278
441,1257
28,34
86,140
888,350
56,259
1315,250
641,604
354,356
826,1254
1423,867
744,718
134,142
639,1178
6,576
6,144
941,943
424,796
1297,1191
6,75
423,324
617,321
252,721
1094,1133
845,957
6,453
1285,659
373,395
371,865
623,903
884,307
783,900
41,199
6,543
142,575
1111,1025
384,6
832,323
603,605
685,1020
41,184
978,1292
43,796
6,448
708,1360
806,712
639,768
900,361
1274,323
6,123
391,393
884,252
682,683
6,556
743,718
1151,1152
216,736
41,116
323,799
140,168
638,643
705,431
31,1033
1506,1508
95,142
744,315
1341,947
608,609
142,172
859,1170
1223,1224
804,764
339,716
1091,713
1218,1219
6,477
6,568
6,158
872,395
27,762
371,856
330,896
6,130
694,722
1299,1301
342,720
6,516
639,283
307,666
301,428
56,225
6,164
6,502
41,147
725,34
694,899
6,74
27,347
6,96
317,827
514,568
1456,808
1480,1481
1279,1281
6,77
499,142
1513,605
962,846
40,6
6,485
27,343
718,628
852,853
301,350
441,722
63,142
776,885
393,874
718,745
426,857
648,33
142,152
29,726
119,142
378,1036
900,1079
41,118
1070,358
625,626
424,917
56,113
142,589
393,436
1549,1550
656,660
6,551
638,393
377,378
56,185
41,64
424,930
117,142
6,520
6,563
354,357
709,710
250,1317
300,401
892,605
1424,867
1039,1040
873,874
27,799
6,479
616,625
711,1104
56,79
